ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
713,Subarray Product Less Than K,39.1%,Medium,0.6727517560064701, https://leetcode.com/problems/subarray-product-less-than-k,Not Done
1223,Dice Roll Simulation,45.6%,Medium,0.5140462384660329, https://leetcode.com/problems/dice-roll-simulation,Not Done
1411,Number of Ways to Paint N × 3 Grid,61.1%,Hard,0.3553407209255957, https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid,Not Done
1177,Can Make Palindrome from Substring,34.6%,Medium,0.2499114115653143, https://leetcode.com/problems/can-make-palindrome-from-substring,Not Done
995,Minimum Number of K Consecutive Bit Flips,46.8%,Hard,0.1900436028878649, https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,Not Done
324,Wiggle Sort II,29.9%,Medium,0.168749479248411, https://leetcode.com/problems/wiggle-sort-ii,Not Done
1319,Number of Operations to Make Network Connected,53.1%,Medium,0.0458796057506936, https://leetcode.com/problems/number-of-operations-to-make-network-connected,Not Done
48,Rotate Image,56.7%,Medium,0.0202282497754715, https://leetcode.com/problems/rotate-image,Not Done
1048,Longest String Chain,54.7%,Medium,0.0193616890491459, https://leetcode.com/problems/longest-string-chain,Not Done
443,String Compression,41.3%,Easy,0.0139084300461319, https://leetcode.com/problems/string-compression,Not Done
39,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum,Not Done
152,Maximum Product Subarray,31.7%,Medium,0.005590510716885, https://leetcode.com/problems/maximum-product-subarray,Not Done
15,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum,Not Done
20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0021239321954525, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
